1:A:-0	1:A:+3082250	1	S
1:B:-0	1:B:+3082250	1	S
1:A:-3082251	1:A:+3642212	1	S
1:B:-3082251	1:B:+3642212	1	S
1:A:-3642213	1:A:+6738216	1	S
1:B:-3642213	1:B:+6738216	1	S
1:A:-6738217	1:A:+6742592	2	S
1:B:-6738217	1:B:+6742592	1	S
1:A:-6742593	1:A:+7531102	2	S
1:B:-6742593	1:B:+7531102	1	S
1:A:-7531103	1:A:+7559060	2	S
1:B:-7531103	1:B:+7559060	1	S
1:A:-7559061	1:A:+16543141	1	S
1:B:-7559061	1:B:+16543141	1	S
1:A:-16543142	1:A:+16543179	1	S
1:B:-16543142	1:B:+16543179	1	S
1:A:-16543180	1:A:+16879228	2	S
1:B:-16543180	1:B:+16879228	1	S
1:A:-16879229	1:A:+17216034	1	S
1:B:-16879229	1:B:+17216034	1	S
1:A:-17216035	1:A:+18133333	1	S
1:B:-17216035	1:B:+18133333	1	S
1:A:-18133334	1:A:+18133688	1	S
1:B:-18133334	1:B:+18133688	1	S
1:A:-18133689	1:A:+18134816	1	S
1:B:-18133689	1:B:+18134816	1	S
1:A:-18134817	1:A:+18134920	1	S
1:B:-18134817	1:B:+18134920	1	S
1:A:-18134921	1:A:+18135394	1	S
1:B:-18134921	1:B:+18135394	1	S
1:A:-18135395	1:A:+18296195	1	S
1:B:-18135395	1:B:+18296195	1	S
1:A:-18296196	1:A:+18296711	3	S
1:B:-18296196	1:B:+18296711	1	S
1:A:-18296712	1:A:+20454407	3	S
1:B:-18296712	1:B:+20454407	1	S
1:A:-20454408	1:A:+22730108	3	S
1:B:-20454408	1:B:+22730108	1	S
1:A:-22730109	1:A:+22731144	3	S
1:B:-22730109	1:B:+22731144	1	S
1:A:-22731145	1:A:+23437413	3	S
1:B:-22731145	1:B:+23437413	1	S
1:A:-23437414	1:A:+23775080	2	S
1:B:-23437414	1:B:+23775080	1	S
1:A:-23775081	1:A:+23791315	2	S
1:B:-23775081	1:B:+23791315	1	S
1:A:-23791316	1:A:+23792448	2	S
1:B:-23791316	1:B:+23792448	1	S
1:A:-23792449	1:A:+26646389	1	S
1:B:-23792449	1:B:+26646389	1	S
1:A:-26646390	1:A:+26649542	1	S
1:B:-26646390	1:B:+26649542	2	S
1:A:-26649543	1:A:+27272480	1	S
1:B:-26649543	1:B:+27272480	2	S
1:A:-27272481	1:A:+27429825	2	S
1:B:-27272481	1:B:+27429825	2	S
1:A:-27429826	1:A:+28323322	1	S
1:B:-27429826	1:B:+28323322	2	S
1:A:-28323323	1:A:+28323347	1	S
1:B:-28323323	1:B:+28323347	1	S
1:A:-28323348	1:A:+36495075	1	S
1:B:-28323348	1:B:+36495075	1	S
1:A:-36495076	1:A:+36495422	2	S
1:B:-36495076	1:B:+36495422	1	S
1:A:-36495423	1:A:+37026250	2	S
1:B:-36495423	1:B:+37026250	1	S
1:A:-37026251	1:A:+37051441	2	S
1:B:-37026251	1:B:+37051441	1	S
1:A:-37051442	1:A:+41858111	1	S
1:B:-37051442	1:B:+41858111	1	S
1:A:-41858112	1:A:+41858579	1	S
1:B:-41858112	1:B:+41858579	1	S
1:A:-41858580	1:A:+41861949	2	S
1:B:-41858580	1:B:+41861949	1	S
1:A:-41861950	1:A:+41862181	1	S
1:B:-41861950	1:B:+41862181	1	S
1:A:-41862182	1:A:+46118464	2	S
1:B:-41862182	1:B:+46118464	1	S
1:A:-46118465	1:A:+46119593	2	S
1:B:-46118465	1:B:+46119593	1	S
1:A:-46119594	1:A:+51262066	1	S
1:B:-46119594	1:B:+51262066	1	S
1:A:-51262067	1:A:+51540692	1	S
1:B:-51262067	1:B:+51540692	1	S
1:A:-51540693	1:A:+64004346	1	S
1:B:-51540693	1:B:+64004346	1	S
1:A:-64004347	1:A:+64738944	2	S
1:B:-64004347	1:B:+64738944	1	S
1:A:-64738945	1:A:+66499907	1	S
1:B:-64738945	1:B:+66499907	1	S
1:A:-66499908	1:A:+66500411	2	S
1:B:-66499908	1:B:+66500411	1	S
1:A:-66500412	1:A:+66567802	1	S
1:B:-66500412	1:B:+66567802	1	S
1:A:-66567803	1:A:+66573831	2	S
1:B:-66567803	1:B:+66573831	1	S
1:A:-66573832	1:A:+66782540	2	S
1:B:-66573832	1:B:+66782540	1	S
1:A:-66782541	1:A:+66805346	2	S
1:B:-66782541	1:B:+66805346	1	S
1:A:-66805347	1:A:+74608519	1	S
1:B:-66805347	1:B:+74608519	1	S
1:A:-74608520	1:A:+74610323	1	S
1:B:-74608520	1:B:+74610323	1	S
1:A:-74610324	1:A:+76969630	1	S
1:B:-74610324	1:B:+76969630	1	S
1:A:-76969631	1:A:+76971333	3	S
1:B:-76969631	1:B:+76971333	1	S
1:A:-76971334	1:A:+77127027	3	S
1:B:-76971334	1:B:+77127027	1	S
1:A:-77127028	1:A:+77127403	1	S
1:B:-77127028	1:B:+77127403	1	S
1:A:-77127404	1:A:+79174059	1	S
1:B:-77127404	1:B:+79174059	1	S
1:A:-79174060	1:A:+79497198	2	S
1:B:-79174060	1:B:+79497198	1	S
1:A:-79497199	1:A:+99970894	1	S
1:B:-79497199	1:B:+99970894	1	S
1:A:-99970895	1:A:+99994390	2	S
1:B:-99970895	1:B:+99994390	1	S
1:A:-99994391	1:A:+102783770	2	S
1:B:-99994391	1:B:+102783770	1	S
1:A:-102783771	1:A:+102785368	2	S
1:B:-102783771	1:B:+102785368	1	S
1:A:-102785369	1:A:+110768633	1	S
1:B:-102785369	1:B:+110768633	1	S
1:A:-110768634	1:A:+110773024	1	S
1:B:-110768634	1:B:+110773024	1	S
1:A:-110773025	1:A:+114096943	2	S
1:B:-110773025	1:B:+114096943	1	S
1:A:-114096944	1:A:+114099058	1	S
1:B:-114096944	1:B:+114099058	1	S
1:A:-114099059	1:A:+143243771	1	S
1:B:-114099059	1:B:+143243771	1	S
1:A:-143243772	1:A:+145287220	1	S
1:B:-143243772	1:B:+145287220	1	S
1:A:-145287221	1:A:+145735535	2	S
1:B:-145287221	1:B:+145735535	1	S
1:A:-145735536	1:A:+146382903	2	S
1:B:-145735536	1:B:+146382903	1	S
1:A:-146382904	1:A:+148713398	1	S
1:B:-146382904	1:B:+148713398	1	S
1:A:-148713399	1:A:+149106560	1	S
1:B:-148713399	1:B:+149106560	1	S
1:A:-149106561	1:A:+149781208	1	S
1:B:-149106561	1:B:+149781208	2	S
1:A:-149781209	1:A:+150522183	1	S
1:B:-149781209	1:B:+150522183	4	S
1:A:-150522184	1:A:+150607413	2	S
1:B:-150522184	1:B:+150607413	4	S
1:A:-150607414	1:A:+151526219	1	S
1:B:-150607414	1:B:+151526219	4	S
1:A:-151526220	1:A:+152128997	1	S
1:B:-151526220	1:B:+152128997	2	S
1:A:-152128998	1:A:+154019552	1	S
1:B:-152128998	1:B:+154019552	2	S
1:A:-154019553	1:A:+154055548	1	S
1:B:-154019553	1:B:+154055548	2	S
1:A:-154055549	1:A:+154682751	2	S
1:B:-154055549	1:B:+154682751	2	S
1:A:-154682752	1:A:+154685691	2	S
1:B:-154682752	1:B:+154685691	2	S
1:A:-154685692	1:A:+155977673	1	S
